eta_lower = 0.005
eta_upper = 0.05

lamb_lower = 0.000001
lamb_upper = 0.01

acc,    eta,    lamb
0.47960 0.00633 0.00323
0.47750 0.00559 0.00212
0.47650 0.00604 0.00419
0.47590 0.00836 0.00196
0.47590 0.00534 0.00405
0.47510 0.00526 0.00413
0.47500 0.00873 0.00645
0.47460 0.00844 0.00439
0.47310 0.00884 0.00423
0.47280 0.01760 0.00462
0.47250 0.01259 0.00558
0.47130 0.01376 0.00449
0.47130 0.00544 0.00797
0.47100 0.01324 0.00477
0.47080 0.01722 0.00289
0.47050 0.01373 0.00314
0.46990 0.01518 0.00223
0.46990 0.00695 0.00960
0.46920 0.00567 0.00906
0.46920 0.02970 0.00509
0.46850 0.00976 0.00078
0.46810 0.02701 0.00522
0.46810 0.01674 0.00467
0.46790 0.02974 0.00600
0.46770 0.01912 0.00374
0.46740 0.03038 0.00644
0.46700 0.01682 0.00809
0.46700 0.02773 0.00471
0.46650 0.01798 0.00887
0.46650 0.02320 0.00717
0.46650 0.02551 0.00823
0.46630 0.01698 0.00756
0.46620 0.01359 0.00949
0.46610 0.01574 0.00817
0.46540 0.03106 0.00625
0.46480 0.03057 0.00478
0.46470 0.03277 0.00647
0.46460 0.01753 0.00402
0.46340 0.01597 0.00960
0.46330 0.02104 0.00887
0.46310 0.02763 0.00464
0.46310 0.03333 0.00587
0.46300 0.03476 0.00572
0.46290 0.03070 0.00670
0.46260 0.03752 0.00445
0.46240 0.03252 0.00788
0.46230 0.02059 0.00974
0.46230 0.03640 0.00594
0.46220 0.04413 0.00676
0.46190 0.02564 0.00760
0.46150 0.01611 0.00126
0.46130 0.03974 0.00635
0.46110 0.03926 0.00744
0.46080 0.03767 0.00768
0.46070 0.03412 0.00923
0.46030 0.03047 0.00261
0.45990 0.03257 0.00746
0.45960 0.02896 0.00941
0.45910 0.01861 0.00147
0.45810 0.03053 0.00931
0.45810 0.04050 0.00594
0.45810 0.02903 0.00934
0.45740 0.02187 0.00208
0.45720 0.04523 0.00361
0.45670 0.03574 0.00942
0.45660 0.02345 0.00115
0.45650 0.03304 0.00348
0.45640 0.02415 0.00179
0.45630 0.04719 0.00769
0.45620 0.02102 0.00126
0.45600 0.04395 0.00866
0.45570 0.04305 0.00735
0.45360 0.04804 0.00479
0.45360 0.02300 0.00178
0.45330 0.02124 0.00112
0.45320 0.04927 0.00604
0.45300 0.04664 0.00901
0.45290 0.04892 0.00809
0.45190 0.04367 0.00323
0.44990 0.04522 0.00350
0.44960 0.03687 0.00221
0.44940 0.04942 0.00346
0.44930 0.04968 0.00992
0.44920 0.04677 0.00312
0.44900 0.02832 0.00188
0.44840 0.04413 0.00329
0.44690 0.04831 0.00974
0.44220 0.01636 0.00096
0.44150 0.03685 0.00241
0.44120 0.01134 0.00269
0.44000 0.03251 0.00162
0.43670 0.03863 0.00146
0.43500 0.03537 0.00202
0.41890 0.04252 0.00046
0.41620 0.04097 0.00073
0.41510 0.02099 0.00024
0.41360 0.02807 0.00088
0.40880 0.04645 0.00015
0.40470 0.04143 0.00004
0.40320 0.02021 0.00012
