eta_lower = 0.005
eta_upper = 0.009

lamb_lower = 0.001
lamb_upper = 0.006

acc,    eta,    lamb
0.47450 0.00614 0.00590
0.47290 0.00705 0.00517
0.47280 0.00593 0.00557
0.47250 0.00521 0.00491
0.47230 0.00803 0.00582
0.47230 0.00528 0.00587
0.47220 0.00624 0.00524
0.47210 0.00739 0.00596
0.47190 0.00595 0.00559
0.47130 0.00610 0.00426
0.47120 0.00762 0.00539
0.47090 0.00687 0.00543
0.47080 0.00825 0.00567
0.47070 0.00573 0.00503
0.47060 0.00896 0.00581
0.47040 0.00728 0.00465
0.47030 0.00767 0.00329
0.47030 0.00559 0.00597
0.47020 0.00598 0.00496
0.47020 0.00542 0.00447
0.47000 0.00708 0.00566
0.46990 0.00700 0.00555
0.46970 0.00501 0.00397
0.46960 0.00507 0.00480
0.46950 0.00583 0.00567
0.46890 0.00871 0.00558
0.46890 0.00659 0.00380
0.46870 0.00650 0.00422
0.46860 0.00843 0.00395
0.46860 0.00662 0.00163
0.46850 0.00617 0.00239
0.46850 0.00681 0.00379
0.46830 0.00564 0.00442
0.46820 0.00650 0.00371
0.46810 0.00871 0.00503
0.46790 0.00670 0.00570
0.46790 0.00509 0.00335
0.46790 0.00549 0.00435
0.46760 0.00585 0.00223
0.46740 0.00755 0.00292
0.46740 0.00567 0.00123
0.46730 0.00821 0.00288
0.46720 0.00762 0.00576
0.46700 0.00534 0.00326
0.46690 0.00781 0.00417
0.46690 0.00709 0.00274
0.46660 0.00860 0.00444
0.46660 0.00603 0.00168
0.46650 0.00542 0.00217
0.46650 0.00661 0.00264
0.46640 0.00569 0.00107
0.46630 0.00638 0.00474
0.46630 0.00633 0.00294
0.46630 0.00667 0.00224
0.46600 0.00873 0.00267
0.46600 0.00621 0.00296
0.46590 0.00876 0.00382
0.46590 0.00894 0.00474
0.46560 0.00790 0.00449
0.46560 0.00899 0.00400
0.46510 0.00582 0.00331
0.46500 0.00772 0.00384
0.46360 0.00847 0.00385
0.46350 0.00716 0.00269
0.46340 0.00688 0.00297
0.46320 0.00632 0.00183
0.46310 0.00635 0.00187
0.46310 0.00819 0.00271
0.46300 0.00551 0.00250
0.46280 0.00623 0.00169
0.46240 0.00719 0.00236
0.46240 0.00658 0.00400
0.46220 0.00537 0.00222
0.46200 0.00648 0.00288
0.46200 0.00851 0.00280
0.46190 0.00704 0.00541
0.46170 0.00609 0.00291
0.46120 0.00819 0.00217
0.46080 0.00667 0.00271
0.46080 0.00520 0.00223
0.46050 0.00589 0.00154
0.46050 0.00756 0.00279
0.46030 0.00841 0.00199
0.46010 0.00689 0.00186
0.45920 0.00572 0.00223
0.45900 0.00509 0.00189
0.45870 0.00794 0.00120
0.45800 0.00891 0.00171
0.45780 0.00798 0.00127
0.45730 0.00860 0.00153
0.45720 0.00859 0.00219
0.45670 0.00661 0.00248
0.45650 0.00883 0.00233
0.45500 0.00651 0.00408
0.45410 0.00812 0.00139
0.45350 0.00887 0.00132
0.45150 0.00875 0.00149
0.45120 0.00871 0.00106
0.45040 0.00881 0.00193
0.42980 0.00633 0.00435
