eta_lower = 0.0055
eta_upper = 0.008

lamb_lower = 0.0045
lamb_upper = 0.006

acc,    eta,    lamb
0.47720 0.00560 0.00541
0.47690 0.00563 0.00566
0.47660 0.00555 0.00553
0.47650 0.00561 0.00540
0.47650 0.00613 0.00504
0.47640 0.00572 0.00530
0.47640 0.00642 0.00569
0.47640 0.00575 0.00595
0.47620 0.00632 0.00504
0.47620 0.00599 0.00551
0.47600 0.00557 0.00465
0.47590 0.00581 0.00519
0.47580 0.00700 0.00561
0.47570 0.00680 0.00544
0.47560 0.00687 0.00520
0.47550 0.00570 0.00477
0.47540 0.00629 0.00554
0.47510 0.00611 0.00486
0.47510 0.00646 0.00488
0.47510 0.00631 0.00459
0.47500 0.00705 0.00593
0.47500 0.00687 0.00577
0.47500 0.00621 0.00560
0.47500 0.00693 0.00484
0.47480 0.00640 0.00553
0.47470 0.00602 0.00512
0.47470 0.00791 0.00552
0.47470 0.00593 0.00573
0.47460 0.00688 0.00490
0.47460 0.00663 0.00472
0.47450 0.00564 0.00484
0.47450 0.00730 0.00594
0.47450 0.00622 0.00484
0.47430 0.00639 0.00475
0.47430 0.00752 0.00549
0.47420 0.00693 0.00463
0.47410 0.00596 0.00489
0.47400 0.00601 0.00590
0.47400 0.00690 0.00509
0.47390 0.00791 0.00590
0.47390 0.00654 0.00493
0.47390 0.00709 0.00465
0.47370 0.00613 0.00550
0.47360 0.00798 0.00598
0.47360 0.00643 0.00476
0.47350 0.00743 0.00544
0.47350 0.00593 0.00461
0.47350 0.00664 0.00567
0.47340 0.00718 0.00536
0.47320 0.00688 0.00541
0.47320 0.00770 0.00529
0.47320 0.00712 0.00495
0.47310 0.00747 0.00528
0.47250 0.00737 0.00598
0.47240 0.00673 0.00573
0.47230 0.00708 0.00498
0.47210 0.00798 0.00470
0.47200 0.00749 0.00505
0.47180 0.00762 0.00595
0.47180 0.00593 0.00454
0.47150 0.00632 0.00570
0.47140 0.00651 0.00559
0.47130 0.00675 0.00465
0.47120 0.00721 0.00561
0.47120 0.00770 0.00553
0.47110 0.00658 0.00484
0.47110 0.00762 0.00485
0.47110 0.00562 0.00525
0.47110 0.00590 0.00540
0.47100 0.00615 0.00460
0.47090 0.00721 0.00474
0.47090 0.00603 0.00497
0.47080 0.00609 0.00567
0.47070 0.00674 0.00486
0.47050 0.00575 0.00506
0.47050 0.00625 0.00470
0.47040 0.00658 0.00599
0.47030 0.00624 0.00529
0.47020 0.00639 0.00572
0.47000 0.00611 0.00474
0.46980 0.00592 0.00480
0.46950 0.00708 0.00451
0.46930 0.00680 0.00516
0.46920 0.00763 0.00516
0.46900 0.00719 0.00557
0.46880 0.00786 0.00505
0.46860 0.00730 0.00488
0.46840 0.00690 0.00586
0.46830 0.00780 0.00467
0.46830 0.00730 0.00507
0.46820 0.00761 0.00497
0.46770 0.00652 0.00550
0.46770 0.00742 0.00546
0.46750 0.00612 0.00491
0.46550 0.00618 0.00515
0.46370 0.00561 0.00566
0.46320 0.00559 0.00591
0.45970 0.00754 0.00579
0.45400 0.00665 0.00451
0.43210 0.00684 0.00537
