    eta_lower = 0.0001
    eta_upper = 0.1

    lamb_lower = 0.000001
    lamb_upper = 0.01

[acc, eta, lamb]
0.41770 0.05664 0.00439
0.41750 0.04603 0.00456
0.41600 0.01776 0.00829
0.41590 0.02690 0.00701
0.41550 0.08526 0.00323
0.41440 0.04244 0.00875
0.41390 0.02694 0.00718
0.41350 0.09104 0.00289
0.41270 0.02687 0.00916
0.41260 0.06705 0.00479
0.41120 0.03736 0.00755
0.41050 0.05107 0.00256
0.41010 0.05660 0.00230
0.40950 0.06154 0.00274
0.40920 0.01781 0.00945
0.40920 0.00924 0.00641
0.40900 0.07392 0.00672
0.40900 0.01063 0.00544
0.40890 0.08776 0.00272
0.40880 0.04102 0.00593
0.40870 0.03902 0.00734
0.40860 0.00386 0.00865
0.40780 0.05074 0.00733
0.40770 0.03184 0.00221
0.40770 0.04870 0.00438
0.40760 0.05520 0.00403
0.40670 0.04680 0.00019
0.40640 0.00896 0.00973
0.40610 0.08114 0.00274
0.40570 0.06664 0.00510
0.40500 0.04089 0.00251
0.40500 0.09334 0.00170
0.40400 0.00487 0.00965
0.40360 0.04176 0.00733
0.40350 0.06652 0.00933
0.40340 0.01581 0.00763
0.40320 0.03904 0.00961
0.40310 0.03166 0.00558
0.40210 0.08813 0.00688
0.40180 0.01694 0.00189
0.40180 0.08872 0.00748
0.40160 0.05734 0.00700
0.40150 0.04943 0.00794
0.40150 0.05368 0.00742
0.40140 0.03931 0.00658
0.40120 0.06126 0.00832
0.40100 0.04094 0.00890
0.40090 0.04130 0.00224
0.40030 0.06828 0.00546
0.40010 0.08621 0.00386
0.40000 0.07909 0.00076
0.39960 0.00955 0.00931
0.39940 0.00692 0.00962
0.39930 0.01109 0.00165
0.39930 0.07624 0.00424
0.39900 0.08607 0.00097
0.39880 0.04876 0.00813
0.39820 0.09051 0.00446
0.39810 0.05682 0.00846
0.39810 0.00247 0.00517
0.39790 0.05525 0.00264
0.39790 0.04541 0.00922
0.39780 0.07801 0.00810
0.39770 0.02700 0.00543
0.39770 0.00764 0.00901
0.39760 0.05577 0.00790
0.39750 0.09227 0.00562
0.39680 0.06385 0.00632
0.39670 0.02056 0.00443
0.39640 0.03321 0.00163
0.39570 0.07425 0.00874
0.39570 0.02750 0.00682
0.39560 0.00395 0.00495
0.39540 0.01365 0.00186
0.39470 0.00465 0.00190
0.39390 0.06286 0.00885
0.39350 0.06514 0.00822
0.39350 0.06845 0.00749
0.39290 0.06005 0.00798
0.39280 0.08238 0.00035
0.39240 0.00561 0.00942
0.39220 0.08354 0.00869
0.39120 0.01265 0.00873
0.39120 0.08349 0.00853
0.39070 0.08901 0.00942
0.39040 0.03549 0.00127
0.38990 0.02649 0.00041
0.38970 0.04115 0.00543
0.38930 0.09220 0.00960
0.38900 0.00975 0.00260
0.38810 0.09161 0.00443
0.38810 0.06120 0.00045
0.38510 0.09118 0.00009
0.38490 0.07335 0.00014
0.38430 0.02241 0.00956
0.38390 0.07726 0.00960
0.38380 0.02419 0.00648
0.38350 0.03417 0.00189
0.38200 0.06362 0.00045
0.38160 0.06658 0.00242
