
    eta_lower = 0.01
    eta_upper = 0.1

    lamb_lower = 0.001
    lamb_upper = 0.01

[acc, eta, lamb]
0.42130 0.09785 0.00327
0.42050 0.08548 0.00256
0.41860 0.06181 0.00433
0.41670 0.02883 0.00709
0.41640 0.06385 0.00678
0.41610 0.06694 0.00322
0.41600 0.05571 0.00680
0.41590 0.03726 0.00868
0.41480 0.08155 0.00590
0.41470 0.07437 0.00218
0.41460 0.06818 0.00875
0.41420 0.02781 0.00407
0.41400 0.03877 0.00981
0.41370 0.05010 0.00768
0.41340 0.06715 0.00906
0.41280 0.03752 0.00704
0.41280 0.02890 0.00273
0.41220 0.03027 0.00627
0.41200 0.09206 0.00570
0.41200 0.04475 0.00517
0.41110 0.06666 0.00564
0.41110 0.05750 0.00651
0.41110 0.03092 0.00602
0.41100 0.01433 0.00875
0.41070 0.07888 0.00240
0.40970 0.09419 0.00223
0.40890 0.05054 0.00849
0.40850 0.05918 0.00680
0.40800 0.01925 0.00640
0.40790 0.02114 0.00414
0.40760 0.02829 0.00570
0.40750 0.07092 0.00625
0.40700 0.05907 0.00943
0.40690 0.05761 0.00773
0.40640 0.08852 0.00156
0.40630 0.01226 0.00670
0.40580 0.06590 0.00232
0.40530 0.02225 0.00678
0.40520 0.07911 0.00237
0.40510 0.07698 0.00514
0.40510 0.02143 0.00801
0.40500 0.02408 0.00385
0.40490 0.05658 0.00981
0.40480 0.05257 0.00756
0.40480 0.04399 0.00886
0.40470 0.02328 0.00546
0.40470 0.02184 0.00363
0.40430 0.07270 0.00867
0.40380 0.03048 0.00918
0.40380 0.09173 0.00892
0.40380 0.04693 0.00992
0.40350 0.09747 0.00265
0.40320 0.03055 0.00698
0.40320 0.08409 0.00361
0.40270 0.04064 0.00521
0.40260 0.04110 0.00324
0.40260 0.08210 0.00359
0.40240 0.03600 0.00928
0.40240 0.06053 0.00698
0.40230 0.05007 0.00441
0.40230 0.08748 0.00432
0.40220 0.05799 0.00890
0.40210 0.02599 0.00352
0.40210 0.03543 0.00265
0.40190 0.02943 0.00709
0.40130 0.05881 0.00569
0.40130 0.09570 0.00573
0.40130 0.09124 0.00846
0.40080 0.08570 0.00342
0.40060 0.03358 0.00758
0.40040 0.07939 0.00903
0.40020 0.04603 0.00391
0.39990 0.08474 0.00599
0.39950 0.07960 0.00425
0.39850 0.04316 0.00450
0.39840 0.01038 0.00310
0.39820 0.05817 0.00848
0.39780 0.05601 0.00110
0.39740 0.08138 0.00673
0.39700 0.08735 0.00489
0.39650 0.01987 0.00290
0.39630 0.05464 0.00157
0.39540 0.01124 0.00518
0.39520 0.02514 0.00237
0.39500 0.04379 0.00315
0.39420 0.05715 0.00256
0.39410 0.05017 0.00707
0.39400 0.01645 0.00615
0.39260 0.09536 0.00938
0.39200 0.09429 0.00535
0.39100 0.09142 0.00346
0.38990 0.02711 0.00208
0.38980 0.01286 0.00777
0.38920 0.07453 0.00898
0.38830 0.08782 0.00549
0.38640 0.09106 0.00898
0.38580 0.01412 0.00624
0.38410 0.09805 0.00813
0.37980 0.06362 0.00978
0.37810 0.08033 0.00944
