#    eta_lower = 0.05
#    eta_upper = 0.1
#
#    lamb_lower = 0.002
#    lamb_upper = 0.009

[acc, eta, lamb]
0.42560 0.05608 0.00642
0.42540 0.05362 0.00347
0.42130 0.05401 0.00483
0.41960 0.05633 0.00452
0.41940 0.06523 0.00605
0.41900 0.07684 0.00706
0.41820 0.06031 0.00378
0.41790 0.06377 0.00883
0.41690 0.06769 0.00320
0.41670 0.09499 0.00260
0.41590 0.05421 0.00237
0.41550 0.06779 0.00218
0.41550 0.05198 0.00604
0.41510 0.08514 0.00327
0.41480 0.07684 0.00330
0.41480 0.05813 0.00448
0.41440 0.09984 0.00363
0.41320 0.05508 0.00434
0.41310 0.06269 0.00349
0.41250 0.05559 0.00815
0.41180 0.05467 0.00838
0.41170 0.06258 0.00493
0.41160 0.05416 0.00546
0.41150 0.08919 0.00266
0.41090 0.08537 0.00521
0.41020 0.08836 0.00626
0.41010 0.07995 0.00266
0.41000 0.08343 0.00733
0.40990 0.08357 0.00571
0.40980 0.06403 0.00367
0.40900 0.09871 0.00483
0.40890 0.05788 0.00707
0.40870 0.06746 0.00684
0.40840 0.06329 0.00449
0.40840 0.08617 0.00403
0.40820 0.06396 0.00385
0.40760 0.07382 0.00225
0.40760 0.06606 0.00712
0.40700 0.06327 0.00669
0.40680 0.06034 0.00766
0.40640 0.06432 0.00653
0.40610 0.05861 0.00711
0.40560 0.06181 0.00774
0.40550 0.07789 0.00832
0.40550 0.05413 0.00449
0.40540 0.07724 0.00273
0.40530 0.07625 0.00735
0.40510 0.08693 0.00445
0.40500 0.05641 0.00554
0.40480 0.08092 0.00331
0.40440 0.05585 0.00564
0.40430 0.06370 0.00357
0.40360 0.05938 0.00386
0.40360 0.08554 0.00845
0.40350 0.08388 0.00269
0.40340 0.06834 0.00868
0.40310 0.06342 0.00452
0.40280 0.06728 0.00718
0.40260 0.05689 0.00215
0.40250 0.05559 0.00607
0.40230 0.08561 0.00301
0.40030 0.08642 0.00246
0.40000 0.07513 0.00756
0.39950 0.09187 0.00550
0.39950 0.07359 0.00645
0.39930 0.07179 0.00206
0.39930 0.06200 0.00666
0.39920 0.05876 0.00700
0.39870 0.05488 0.00807
0.39860 0.07997 0.00896
0.39840 0.07802 0.00862
0.39830 0.06120 0.00711
0.39790 0.06710 0.00846
0.39760 0.08583 0.00433
0.39750 0.06491 0.00851
0.39750 0.06732 0.00898
0.39710 0.08962 0.00762
0.39690 0.07185 0.00868
0.39660 0.09735 0.00335
0.39650 0.07879 0.00466
0.39630 0.09973 0.00617
0.39610 0.06084 0.00823
0.39540 0.06236 0.00531
0.39460 0.08107 0.00715
0.39450 0.09178 0.00755
0.39310 0.08975 0.00287
0.39310 0.07509 0.00841
0.39240 0.06100 0.00776
0.39230 0.05970 0.00707
0.38950 0.06449 0.00756
0.38920 0.07039 0.00384
0.38860 0.09411 0.00607
0.38720 0.09220 0.00548
0.38660 0.07632 0.00865
0.38420 0.06684 0.00828
0.38380 0.06547 0.00794
0.38370 0.07634 0.00730
0.38080 0.09455 0.00825
0.37790 0.09392 0.00745
0.37110 0.09832 0.00845
